Energy [MeV],neutron current [a.u.]
1.00E-9,0.00E+0
1.28E-9,0.00E+0
1.64E-9,0.00E+0
2.10E-9,0.00E+0
2.69E-9,0.00E+0
3.44E-9,0.00E+0
4.41E-9,0.00E+0
5.65E-9,0.00E+0
7.24E-9,0.00E+0
9.27E-9,8.75E-8
1.19E-8,1.87E-7
1.52E-8,2.45E-7
1.95E-8,3.26E-7
2.49E-8,4.22E-7
3.19E-8,5.18E-7
4.09E-8,6.82E-7
5.24E-8,8.55E-7
6.71E-8,1.04E-6
8.59E-8,1.26E-6
1.10E-7,1.47E-6
1.41E-7,1.73E-6
1.80E-7,1.97E-6
2.31E-7,2.16E-6
2.96E-7,2.33E-6
3.79E-7,2.55E-6
4.85E-7,2.69E-6
6.21E-7,2.96E-6
7.96E-7,2.97E-6
1.02E-6,3.11E-6
1.31E-6,3.19E-6
1.67E-6,3.30E-6
2.14E-6,3.28E-6
2.74E-6,3.41E-6
3.51E-6,3.43E-6
4.50E-6,3.49E-6
5.76E-6,3.61E-6
7.38E-6,3.55E-6
9.45E-6,3.73E-6
1.21E-5,3.80E-6
1.55E-5,3.79E-6
1.98E-5,3.85E-6
2.54E-5,3.84E-6
3.25E-5,3.88E-6
4.17E-5,3.87E-6
5.34E-5,3.97E-6
6.83E-5,4.13E-6
8.75E-5,4.25E-6
1.12E-4,4.28E-6
1.44E-4,4.35E-6
1.84E-4,4.34E-6
2.35E-4,4.48E-6
3.02E-4,4.62E-6
3.86E-4,4.65E-6
4.95E-4,4.84E-6
6.33E-4,5.03E-6
8.11E-4,5.13E-6
1.04E-3,5.28E-6
1.33E-3,5.50E-6
1.70E-3,5.66E-6
2.18E-3,5.98E-6
2.79E-3,6.27E-6
3.58E-3,6.64E-6
4.58E-3,7.04E-6
5.87E-3,7.42E-6
7.52E-3,7.89E-6
9.63E-3,8.64E-6
1.23E-2,9.43E-6
1.58E-2,1.02E-5
2.02E-2,1.11E-5
2.59E-2,1.23E-5
3.32E-2,1.35E-5
4.25E-2,1.52E-5
5.44E-2,1.71E-5
6.97E-2,1.98E-5
8.92E-2,2.26E-5
1.14E-1,2.61E-5
1.46E-1,2.96E-5
1.87E-1,3.40E-5
2.40E-1,3.92E-5
3.07E-1,4.51E-5
3.94E-1,5.19E-5
5.04E-1,6.04E-5
6.46E-1,6.97E-5
8.27E-1,8.15E-5
1.06E+0,9.37E-5
1.36E+0,1.06E-4
1.74E+0,1.16E-4
2.22E+0,1.20E-4
2.85E+0,1.17E-4
3.65E+0,1.08E-4
4.67E+0,9.52E-5
5.98E+0,8.46E-5
7.66E+0,7.77E-5
9.81E+0,7.64E-5
1.26E+1,7.72E-5
1.61E+1,8.07E-5
2.06E+1,8.76E-5
2.64E+1,1.02E-4
3.38E+1,1.27E-4
4.33E+1,1.64E-4
5.54E+1,2.10E-4
7.10E+1,2.56E-4
9.09E+1,2.93E-4
1.16E+2,3.06E-4
1.49E+2,2.89E-4
1.91E+2,2.50E-4
2.45E+2,1.92E-4
3.13E+2,1.29E-4
4.01E+2,8.07E-5
5.14E+2,4.68E-5
6.58E+2,2.66E-5
8.43E+2,1.57E-5
1.08E+3,1.02E-5
1.38E+3,6.82E-6
1.77E+3,4.91E-6
2.27E+3,3.57E-6
2.90E+3,2.54E-6
3.72E+3,1.90E-6
4.76E+3,1.40E-6
6.10E+3,1.04E-6
7.81E+3,7.28E-7
